sample,study,group,cancer_abbr,tissue,sample_type,CDCP1,MET,EPHA2,ERBB2,EGFR,TFRC,ACKR3,IGF2R,LDLR,SORT1,LRP1,ASGR1
GTEX-S4Q7-0003-SM-3NM8M,GTEX,Normal_GTEx,,Blood,Cell Line,3.6053,0.0566,0.2869,2.86,0.2388,8.1377,5.504,5.4203,2.9672,1.111,1.2449,0.2987
TCGA-19-1787-01,TCGA,Tumor_TCGA,GBM,Brain,Primary Tumor,1.4436,1.0976,2.0036,6.2959,5.604,5.3771,4.8535,4.7192,3.3045,6.8326,6.6131,1.7268
TCGA-S9-A7J2-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,0.3896,0.0976,1.531,3.8074,6.5065,4.5223,4.2441,4.4495,3.6393,4.6387,7.4861,4.5422
GTEX-QV31-1626-SM-2S1QC,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.2141,1.9336,2.5945,5.2653,4.5558,5.7813,6.9386,4.8424,6.3291,6.9609,7.8681,0.864
TCGA-G3-A3CH-11,TCGA,Normal_TCGA,LIHC,Liver,Solid Tissue Normal,0.3334,3.5008,2.2234,4.3356,3.3219,1.6461,1.4168,3.3882,3.4463,1.3334,6.0074,8.8
TCGA-B5-A5OE-01,TCGA,Tumor_TCGA,UCEC,Endometrium,Primary Tumor,4.7115,5.3452,4.7065,7.9821,2.5607,7.1786,3.1635,4.2645,3.0286,4.257,3.846,1.6369
GTEX-13QIC-0011-R1a-SM-5O9CJ,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.2141,0.2987,1.0286,2.4906,2.144,3.5729,2.5509,2.3161,3.9874,6.7154,4.8743,1.1954
TCGA-B2-5641-11,TCGA,Normal_TCGA,KIRC,Kidney,Solid Tissue Normal,3.2794,4.9932,4.1842,7.4835,4.8145,4.1803,4.0303,5.8094,2.3132,6.7321,4.3197,0.3448
GTEX-ZPCL-0126-SM-4WWC8,GTEX,Normal_GTEx,,Thyroid,Normal Tissue,3.3075,3.5173,4.5248,6.6548,4.0678,4.6011,5.8089,4.3632,3.2972,5.1387,6.5195,3.1473
TARGET-20-PANGDN-09,TARGET,other,,White blood cell,Primary Blood Derived Cancer - Bone Marrow,0.848,0.0426,0.0976,0.4436,0.0426,3.617,1.7225,3.5008,5.0,3.9964,4.0909,2.0143
GTEX-S33H-1226-SM-4AD69,GTEX,Normal_GTEx,,Pancreas,Normal Tissue,1.9298,2.1985,1.9855,3.7463,2.4302,2.9818,3.8166,2.6392,2.5631,1.9486,3.4181,0.3561
GTEX-X88G-0426-SM-47JZ5,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.7049,2.2839,3.4409,6.1179,3.8289,4.067,6.8706,5.4838,5.1243,5.9604,7.9342,1.2987
TCGA-C8-A1HL-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.2219,3.1555,2.0772,7.7698,1.2265,4.1408,4.4403,3.6358,4.0678,4.8253,4.926,0.263
TCGA-EW-A2FS-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,1.5993,2.1505,2.2839,6.4739,1.5898,3.3191,5.9334,3.0738,4.3385,4.116,4.7718,0.3896
GTEX-ZAKK-0326-SM-5EGHA,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.3674,2.8339,2.3045,4.7797,2.7677,3.0565,4.5754,5.0587,1.4168,4.9458,6.079,0.4005
GTEX-1399S-1726-SM-5L3DI,GTEX,Normal_GTEx,,Lung,Normal Tissue,2.2234,3.5097,4.1169,5.6735,5.153,5.7417,3.8953,5.3111,6.0414,5.9071,7.114,2.5849
GTEX-ZF29-0926-SM-4WKFZ,GTEX,Normal_GTEx,,Skin,Normal Tissue,3.9909,2.3923,4.2426,6.6893,5.8713,4.4899,3.3923,4.627,4.4039,3.6769,5.465,2.8217
TCGA-IR-A3L7-01,TCGA,Tumor_TCGA,CESC,Cervix,Primary Tumor,3.5147,2.8894,5.6162,6.9781,4.8703,4.9164,4.0789,4.9462,3.925,5.0938,5.9795,0.4114
TCGA-05-4420-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,3.2265,3.6893,3.0286,6.3219,2.8816,5.903,3.511,4.3377,3.1731,4.9345,4.8053,1.541
TCGA-91-6840-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,1.9184,3.536,3.4303,6.3696,4.3356,5.8772,3.2464,5.3802,3.5496,5.3244,6.285,1.903
GTEX-13W3W-2626-SM-5SIA2,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.0566,2.131,0.9411,2.707,1.8115,6.0792,4.7301,5.6484,0.696,4.7339,2.9763,0.3334
GTEX-WQUQ-2526-SM-4MVNO,GTEX,Normal_GTEx,,Colon,Normal Tissue,2.3896,2.5033,3.2,5.0811,3.6404,4.6112,4.5454,4.2009,3.5583,4.0968,6.8581,1.4957
TCGA-R6-A8WC-01,TCGA,Tumor_TCGA,ESCA,Esophagus,Primary Tumor,5.8355,6.3761,5.5457,10.6075,4.6531,7.9527,4.0738,5.5202,6.144,5.0391,6.0798,0.903
GTEX-P44H-0526-SM-2XCF1,GTEX,Normal_GTEx,,Nerve,Normal Tissue,0.3674,3.6462,3.8318,6.4519,5.5527,5.0054,6.1056,3.855,1.9855,5.8848,7.5027,0.848
TCGA-B6-A402-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.8679,2.8115,2.5705,5.9284,2.2419,5.2619,3.0018,3.6473,3.4995,5.2388,5.096,0.516
TCGA-DX-A3U8-01,TCGA,Tumor_TCGA,SARC,"Soft tissue,Bone",Primary Tumor,2.7377,4.2616,3.7697,5.3327,0.8718,3.1985,3.8135,4.6195,3.2188,7.1202,8.0296,1.9635
TCGA-GL-8500-01,TCGA,Tumor_TCGA,KIRP,Kidney,Primary Tumor,0.275,5.8868,4.0653,6.5749,3.8689,2.7463,3.4114,4.462,0.687,3.8217,4.2086,0.3103
TCGA-D5-6929-01,TCGA,Tumor_TCGA,COAD,Colon,Primary Tumor,3.3757,4.5085,4.0339,6.1721,2.7247,6.5772,4.0436,4.7115,5.0505,4.1922,5.8304,1.8639
GTEX-11ONC-2326-SM-5HL6P,GTEX,Normal_GTEx,,Nerve,Normal Tissue,0.5558,3.144,4.4005,6.5536,4.8778,4.9579,6.0211,3.7517,4.669,4.9444,8.0778,1.4006
GTEX-TSE9-0126-SM-3DB83,GTEX,Normal_GTEx,,Skin,Normal Tissue,3.6611,2.5261,4.8575,6.4484,6.5303,5.1123,4.5078,4.0357,4.0285,3.9193,5.541,2.0215
GTEX-R55F-0226-SM-48FCI,GTEX,Normal_GTEx,,Nerve,Normal Tissue,0.6781,3.5135,4.3618,6.6985,4.7623,3.5046,4.9326,4.5085,4.2928,5.3338,8.1383,1.8032
TCGA-EJ-7125-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,3.1522,1.1827,1.2016,6.5847,4.0054,3.4957,2.6135,6.5157,4.5999,4.4282,4.6582,0.4751
GTEX-13O3P-0226-SM-5KM3Z,GTEX,Normal_GTEx,,Adipose Tissue,Normal Tissue,0.7485,3.2839,3.7666,2.9837,4.09,4.7048,6.5903,4.3427,4.2578,4.7803,8.1724,1.4383
TCGA-L5-A4OH-01,TCGA,Tumor_TCGA,ESCA,Esophagus,Primary Tumor,5.4731,6.9352,8.0464,6.8754,5.6608,7.8208,3.6253,6.2401,7.629,4.4423,5.9903,0.9561
GTEX-VJYA-0005-SM-3P5ZD,GTEX,Normal_GTEx,,Blood,Normal Tissue,0.0976,0.0144,0.111,0.3674,0.0426,1.0841,0.3448,3.3992,1.516,2.06,3.5546,3.3715
TCGA-AX-A3G6-01,TCGA,Tumor_TCGA,UCEC,Endometrium,Primary Tumor,4.717,3.1843,4.6135,6.2534,2.0942,6.213,4.5951,4.337,3.5898,4.7655,5.3625,1.0072
GTEX-PWCY-1326-SM-48TCU,GTEX,Normal_GTEx,,Ovary,Normal Tissue,0.2141,0.3674,2.3161,4.6696,3.7398,8.0316,3.359,4.7788,5.9434,2.425,7.7379,1.1243
GTEX-POMQ-0006-SM-5SI7D,GTEX,Normal_GTEx,,Blood,Normal Tissue,0.0286,0.0144,0.0,0.2016,0.0144,2.9891,0.1635,3.1683,1.2809,2.7718,2.4356,2.5777
TCGA-B9-A8YH-01,TCGA,Tumor_TCGA,KIRP,Kidney,Primary Tumor,3.4581,7.5864,3.905,7.1495,4.8505,3.742,3.6041,5.1635,1.1891,4.8738,5.3992,1.1506
GTEX-Y9LG-0426-SM-4VBRT,GTEX,Normal_GTEx,,Thyroid,Normal Tissue,3.1571,3.7345,2.9874,6.4289,4.3992,3.1127,5.1143,4.5503,3.4169,5.0879,5.9657,3.0943
TCGA-E1-A7YI-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,1.0356,0.696,2.696,3.5957,2.0738,4.4336,5.3667,4.4842,4.3667,6.4993,6.7196,4.1803
TCGA-PC-A5DM-01,TCGA,Tumor_TCGA,SARC,"Soft tissue,Bone",Primary Tumor,2.1538,5.3056,5.4857,4.6165,3.0789,4.3512,3.2064,4.6259,5.2319,5.2664,6.2576,1.1954
TCGA-BR-A4QL-01,TCGA,Tumor_TCGA,STAD,Stomach,Primary Tumor,2.7866,2.3896,2.3813,4.6176,2.3248,4.853,0.9336,2.0356,3.2615,1.926,2.8439,0.2869
GTEX-147F4-1226-SM-5NQAY,GTEX,Normal_GTEx,,Heart,Normal Tissue,0.0144,0.5059,2.2631,2.6135,1.1827,1.7225,2.9184,0.9782,3.2079,1.3951,4.3491,0.4114
TCGA-A2-A3XX-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.0824,2.4854,3.5874,6.7015,2.4005,4.4932,3.6088,4.8757,4.3263,5.5066,5.1929,1.5558
GTEX-QXCU-0626-SM-2TC69,GTEX,Normal_GTEx,,Lung,Normal Tissue,2.5993,3.2064,4.4409,5.3241,5.0592,6.728,6.955,5.2483,7.0738,5.9265,7.4759,1.531
TCGA-DQ-5624-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,5.3789,5.6424,7.2104,5.3349,8.0559,5.3476,7.3373,4.9768,6.4754,3.5008,6.516,0.263
TCGA-KK-A7B3-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,2.4777,1.7655,1.9107,6.101,3.3348,2.969,2.5849,4.839,4.5317,3.6381,5.6803,0.9782
GTEX-1269C-2626-SM-5EQ5C,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.1243,2.2419,1.5558,3.742,1.9709,3.1276,4.2712,4.634,1.8399,4.3618,3.4357,0.263
GTEX-12WSK-2326-SM-5GCOH,GTEX,Normal_GTEx,,Skin,Normal Tissue,4.6105,2.696,4.6775,7.0475,6.2523,4.0144,4.3255,5.0892,4.3082,4.3923,5.7871,2.2986
TCGA-06-5412-01,TCGA,Tumor_TCGA,GBM,Brain,Primary Tumor,1.9146,3.3702,2.7929,2.254,2.8894,5.6484,4.1627,3.6381,2.5753,5.5454,7.0711,2.774
GTEX-P4PQ-0126-SM-2S1NM,GTEX,Normal_GTEx,,Skin,Normal Tissue,3.3263,2.0108,4.7016,6.4015,5.1926,3.0549,5.2234,3.7192,4.1882,4.3576,6.9722,2.131
TCGA-SX-A7SM-01,TCGA,Tumor_TCGA,KIRP,Kidney,Primary Tumor,0.903,6.0065,5.1161,5.5132,3.969,2.4699,2.8074,4.925,1.1375,3.61,4.701,0.5753
TCGA-BP-4765-01,TCGA,Tumor_TCGA,KIRC,Kidney,Primary Tumor,1.9184,5.9693,5.4159,5.1623,4.8933,5.0201,5.4185,5.4182,3.1408,4.4074,5.4246,0.9411
GTEX-ZA64-1526-SM-5CVMD,GTEX,Normal_GTEx,,Breast,Normal Tissue,0.7137,2.6645,3.7104,3.1603,4.8309,4.6415,6.1896,4.2242,2.6803,5.2791,8.0209,1.0909
TCGA-CZ-5459-01,TCGA,Tumor_TCGA,KIRC,Kidney,Primary Tumor,3.6206,6.0934,3.862,4.7301,4.8738,2.696,4.4705,4.7284,1.4542,3.8389,4.7076,0.9486
TCGA-44-6778-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,2.6485,4.0942,3.1619,4.4614,3.0756,6.9674,3.926,5.7301,4.9107,5.2215,6.0448,1.9298
TCGA-56-8305-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,4.9151,3.5033,4.8145,4.4659,3.9079,7.2488,6.5324,4.649,5.7438,4.1375,6.3409,1.9298
GTEX-1122O-0426-SM-5H12G,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.3448,1.4006,2.6206,5.5333,3.8318,5.1902,5.7232,4.2479,2.623,7.8057,7.587,0.4114
TCGA-CZ-5468-11,TCGA,Normal_TCGA,KIRC,Kidney,Solid Tissue Normal,4.4777,5.1363,4.6752,7.6524,4.2817,3.6679,3.9809,5.323,3.6147,6.1503,4.3391,0.7908
TCGA-BH-A0BQ-11,TCGA,Normal_TCGA,BRCA,Breast,Solid Tissue Normal,3.969,4.8197,3.6159,6.5168,5.1387,5.3132,4.0678,5.2169,5.8597,5.1744,6.6427,0.5558
GTEX-1399Q-0005-SM-5NQAG,GTEX,Normal_GTEx,,Blood,Normal Tissue,0.585,0.0704,0.0841,1.6229,0.0144,3.9097,0.8797,3.8777,3.4114,1.0144,3.2418,1.7355
TCGA-4X-A9FA-01,TCGA,Tumor_TCGA,THYM,Thymus,Primary Tumor,0.2388,3.7559,3.8943,3.8953,4.1169,2.6848,1.4594,3.2373,2.272,4.1035,6.3033,0.8156
TCGA-DD-AAW0-01,TCGA,Tumor_TCGA,LIHC,Liver,Primary Tumor,0.774,4.5856,3.7876,4.8778,3.8105,4.4515,4.2601,4.3312,4.7382,3.3434,6.3653,8.8538
GTEX-11EI6-0826-SM-5985V,GTEX,Normal_GTEx,,Lung,Normal Tissue,2.8758,1.9373,5.4604,5.281,3.1859,6.5724,4.2787,5.0696,6.2048,4.7279,7.9006,2.2326
GTEX-11EI6-3126-SM-5H111,GTEX,Normal_GTEx,,Pituitary,Normal Tissue,1.2388,1.6736,4.5838,5.9782,2.536,4.5515,5.3252,3.3248,5.1819,4.292,7.0569,2.3618
TARGET-50-PAJMSE-01,TARGET,other,,Kidney,Primary Solid Tumor,0.3334,2.4195,5.0562,6.7042,1.4276,4.1929,4.0755,5.1477,2.2661,5.8853,5.1779,1.6871
TCGA-RC-A7SH-01,TCGA,Tumor_TCGA,LIHC,Liver,Primary Tumor,2.9297,4.0643,2.025,5.5747,2.9837,3.9326,2.2869,3.3743,4.8565,3.0286,3.5485,8.7304
GTEX-QV44-1726-SM-4R1KG,GTEX,Normal_GTEx,,Testis,Normal Tissue,0.7485,0.6041,2.2479,4.3632,3.009,4.0661,4.6554,3.9393,2.17,5.3923,5.8066,4.2226
GTEX-14E7W-0526-SM-5S2W8,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.4222,1.1309,3.0215,5.4578,4.3183,4.1611,6.5495,4.4039,3.5373,6.605,7.7939,0.687
TCGA-FR-A3R1-01,TCGA,Tumor_TCGA,SKCM,Skin,Primary Tumor,0.7049,0.251,0.4005,5.4902,0.2141,5.3968,1.5801,5.8294,0.7399,6.9329,4.6893,0.4647
TCGA-AA-3511-01,TCGA,Tumor_TCGA,COAD,Colon,Primary Tumor,4.0789,5.2464,5.0933,6.1566,3.5717,5.5283,3.8115,5.3502,5.337,4.9477,6.2862,2.707
TCGA-Z7-A8R5-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,2.6088,2.7929,2.2357,6.3473,2.0356,3.7708,2.8237,2.9542,3.4329,3.8094,5.1599,2.0635
TCGA-GV-A3QK-01,TCGA,Tumor_TCGA,BLCA,Bladder,Primary Tumor,3.837,2.8719,5.0004,7.8485,1.8115,4.8379,3.8268,3.63,2.9782,3.1227,3.7137,0.263
GTEX-S341-0326-SM-2XCAU,GTEX,Normal_GTEx,,Lung,Normal Tissue,2.4302,3.0054,4.1177,5.3151,4.5904,5.6224,4.3327,3.8748,5.8419,5.5404,7.0469,1.8914
TCGA-EE-A29D-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,0.4854,4.858,4.8928,5.629,0.926,5.3431,1.0909,5.5768,2.111,5.5702,5.774,2.1795
GTEX-N7MS-2625-SM-3LK77,GTEX,Normal_GTEx,,Pituitary,Normal Tissue,1.6135,1.844,3.278,5.235,1.696,3.9874,3.359,3.3631,2.9982,3.5886,6.1307,1.6323
TCGA-ZG-A8QW-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,2.7866,2.6667,2.6276,6.3275,3.4222,3.8934,3.1843,4.7415,4.3813,3.7549,5.5707,0.8156
TCGA-DU-7302-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,0.4542,1.5849,1.6553,3.8156,6.0772,4.0789,5.6299,4.0942,4.1619,6.0963,6.8094,3.8934
TCGA-DJ-A3UX-01,TCGA,Tumor_TCGA,THCA,Thyroid Gland,Primary Tumor,3.8349,6.3579,4.3695,6.3595,4.5831,4.5273,4.9955,5.3872,3.5298,5.2813,4.8575,2.7203
TARGET-30-PATGLU-01,TARGET,other,,SympatheticÊNervous System,Primary Solid Tumor,0.3896,0.7485,1.9635,2.8639,0.8399,5.3565,3.7366,3.4449,4.1562,3.9165,5.7071,4.2765
GTEX-OHPJ-0926-SM-2HMJ1,GTEX,Normal_GTEx,,Heart,Normal Tissue,0.2016,1.852,2.1043,4.9127,2.084,3.0635,3.4397,3.9671,1.9146,5.61,5.3169,0.263
TCGA-FS-A1ZA-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,1.111,3.3561,2.2048,4.5046,1.269,4.7771,3.3964,5.6656,4.4744,4.5354,4.8555,0.669
GTEX-13O61-0326-SM-5KM2O,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,1.5993,2.5059,4.0452,5.7881,3.9108,4.8119,6.7576,4.9923,5.6979,7.4206,8.1891,0.856
TCGA-ZN-A9VQ-01,TCGA,other,,Lining of body cavities,Primary Tumor,4.5601,3.5085,6.2423,6.471,4.0099,4.1052,5.1485,4.5129,3.6893,3.6485,8.5733,2.1144
TCGA-EI-6512-01,TCGA,Tumor_TCGA,READ,Rectum,Primary Tumor,4.272,5.3048,5.1428,5.7076,2.7655,6.5639,3.617,5.3027,5.5855,4.5729,6.025,3.8115
TCGA-J4-A83K-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,2.6346,1.8875,1.852,5.9683,3.773,3.2403,2.653,5.1428,4.3771,3.9964,5.8091,0.7655
TCGA-DK-A1AA-01,TCGA,Tumor_TCGA,BLCA,Bladder,Primary Tumor,3.9928,4.7372,6.494,6.7102,3.2913,4.6212,5.3712,4.4369,4.3334,4.5422,4.4627,0.3448
TCGA-EE-A17X-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,4.6899,5.098,4.6876,4.2608,0.189,5.6932,1.1699,7.6463,3.2869,6.7522,5.098,0.5656
GTEX-REY6-0126-SM-48FDT,GTEX,Normal_GTEx,,Testis,Normal Tissue,0.774,0.2265,1.6553,4.2532,2.257,4.0618,3.9354,3.8836,2.1505,5.2311,4.5385,5.9637
TCGA-G9-6379-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,2.1731,1.6135,1.4803,5.6115,2.5261,2.1635,0.8797,2.8738,3.3434,3.1127,4.3978,1.6323
GTEX-13PL7-2726-SM-5L3GB,GTEX,Normal_GTEx,,Vagina,Normal Tissue,4.5065,1.8679,6.7266,5.8235,5.054,4.9741,4.5969,4.6456,5.3067,4.1691,6.6918,0.903
TCGA-GC-A3RC-01,TCGA,Tumor_TCGA,BLCA,Bladder,Primary Tumor,5.7148,5.24,5.5925,5.8066,5.8677,4.4816,4.0548,5.7104,1.7866,4.4951,5.1072,1.0773
TCGA-CJ-6030-11,TCGA,Normal_TCGA,KIRC,Kidney,Solid Tissue Normal,2.9279,4.5975,3.2957,6.5438,3.6041,4.2024,2.9069,4.8354,3.861,5.2668,3.8248,0.3785
GTEX-QV44-0526-SM-2S1RE,GTEX,Normal_GTEx,,Heart,Normal Tissue,0.111,1.848,2.5656,4.8424,1.7355,3.497,3.4169,4.5484,2.8237,4.3399,5.7387,0.0286
TCGA-67-3774-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,4.0514,4.0626,5.4519,6.6459,2.5311,5.3398,3.2032,5.2346,5.4419,4.5515,6.2168,1.4542
GTEX-WY7C-0426-SM-3NB3C,GTEX,Normal_GTEx,,Lung,Normal Tissue,2.3729,3.9345,5.067,5.7996,4.1858,6.0941,4.2772,5.1247,7.3491,5.6522,7.0867,2.281
TCGA-DD-AACA-02,TCGA,Tumor_TCGA,LIHC,Liver,Recurrent Tumor,0.1243,6.2496,1.6112,4.9001,1.406,3.0144,2.7137,5.6014,6.2477,3.4303,6.9716,9.1255
TCGA-DD-AACA-01,TCGA,Tumor_TCGA,LIHC,Liver,Primary Tumor,0.0704,6.2096,1.5704,5.5094,2.7506,3.6123,2.0772,5.4892,6.3685,3.4289,7.649,8.7324
GTEX-ZPCL-0004-SM-4WWD6,GTEX,Normal_GTEx,,Blood,Cell Line,2.4777,0.0286,0.2388,2.3646,0.0704,7.0851,1.9561,4.3547,4.3491,0.7049,1.0704,0.1375
GTEX-X5EB-0326-SM-4QASF,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,1.5059,1.9891,3.7148,5.0184,3.0772,4.0426,5.2087,4.6223,2.4803,6.4889,7.9358,2.2927
GTEX-11DXY-1526-SM-5H129,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,1.7268,1.7049,2.7026,4.9136,5.0574,3.6206,6.0444,4.3139,3.7517,4.5298,7.4236,1.511
GTEX-ZPIC-0005-SM-4WWEB,GTEX,Normal_GTEx,,Blood,Normal Tissue,0.0976,0.0286,0.2141,0.546,0.0566,1.2388,0.2016,4.5298,1.6088,5.3132,3.1326,2.8319
GTEX-13G51-2126-SM-5IJD9,GTEX,Normal_GTEx,,Colon,Normal Tissue,0.3674,1.2203,2.1144,4.5564,3.2883,2.5185,4.7247,3.4087,2.9727,3.8248,6.929,0.7908
TCGA-13-1485-01,TCGA,Tumor_TCGA,OV,Ovary,Primary Tumor,3.6017,3.5583,5.3034,5.4906,3.4249,4.225,3.6206,3.1522,3.0892,4.7729,6.3873,1.0356
TCGA-QG-A5YX-01,TCGA,Tumor_TCGA,COAD,Colon,Primary Tumor,4.7082,4.8762,4.2242,6.8756,3.3059,7.5324,2.2326,4.815,5.0794,4.7835,5.1363,0.9184
GTEX-Y5V6-2826-SM-4VDSF,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.4751,1.1891,1.7225,4.6387,3.7581,3.9269,4.7866,3.4317,3.3895,7.2429,6.8644,0.5059
GTEX-Y111-1826-SM-4SOIR,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,1.3219,1.3045,3.2586,5.211,4.4005,3.0583,5.625,3.4803,3.2898,4.0583,7.2542,1.3277
TCGA-FE-A238-01,TCGA,Tumor_TCGA,THCA,Thyroid Gland,Primary Tumor,4.4601,6.8082,5.0866,6.9266,4.7634,3.2095,3.7517,5.7115,3.9108,5.4937,4.784,1.3392
TCGA-DU-A7TI-01,TCGA,Tumor_TCGA,LGG,Brain,Primary Tumor,1.1506,1.0072,1.5361,3.3631,6.4502,5.5537,6.6552,3.7559,4.4803,5.5481,7.1836,3.2913
GTEX-TMZS-0001-SM-3P61Q,GTEX,Normal_GTEx,,Blood,Cell Line,0.251,0.0286,0.3674,2.257,0.0704,7.2459,5.5407,4.0557,4.3722,0.4957,0.6781,0.3103
TCGA-D8-A1JU-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.7258,2.842,2.5211,7.1334,3.2854,5.6334,5.722,4.9584,4.3442,5.1767,7.5252,0.8797
TCGA-VD-A8K7-01,TCGA,other,,Eye,Primary Tumor,0.0704,5.3579,4.1538,3.8629,0.1763,3.5644,3.1077,4.6311,2.6299,5.9369,4.3385,0.2141
GTEX-11XUK-1426-SM-5EQMG,GTEX,Normal_GTEx,,Small Intestine,Normal Tissue,2.8278,1.7782,3.0943,5.6828,3.3363,4.9959,4.4323,4.6335,3.7388,3.9864,5.5735,1.6323
TCGA-FR-A8YD-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,1.157,5.4738,3.2032,5.0192,0.5656,4.864,1.4383,4.3183,2.3363,5.6761,5.0828,0.6135
GTEX-WOFM-0526-SM-4OOS2,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,1.1763,1.1043,2.4751,4.5173,4.054,4.2434,5.7087,3.9383,2.969,5.4601,6.6502,1.5261
TCGA-HC-7742-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,3.0054,2.1603,1.8875,6.6411,4.3716,4.2456,3.1603,4.7104,4.9763,4.477,4.9164,0.3334
TCGA-DD-A3A6-11,TCGA,Normal_TCGA,LIHC,Liver,Solid Tissue Normal,0.0704,2.7506,2.5849,2.5385,1.9598,2.8972,0.6041,1.8278,4.5349,1.4222,5.1958,8.8275
TCGA-64-1679-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,5.4499,7.2317,5.2979,6.9562,5.0413,5.5094,4.5916,5.8838,4.661,5.5894,7.084,1.7137
TCGA-CV-5976-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,4.7323,5.1623,5.6848,5.9586,8.9195,5.8227,5.9916,5.4637,5.9411,4.5441,4.9458,0.4436
TCGA-BP-4775-01,TCGA,Tumor_TCGA,KIRC,Kidney,Primary Tumor,1.5704,7.1066,3.9654,5.5804,5.511,5.7881,6.0239,5.5897,2.06,4.1375,5.119,1.0635
GTEX-N7MS-2526-SM-26GMA,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.0426,0.9486,0.848,1.9411,1.7093,4.8181,1.5801,2.322,4.121,3.8053,6.8004,4.3306
GTEX-WHPG-0226-SM-3NMB9,GTEX,Normal_GTEx,,Thyroid,Normal Tissue,3.263,3.6077,4.5046,6.2683,3.7803,4.5687,5.8829,4.1922,4.3902,4.7048,6.3942,2.4906
GTEX-13FTZ-2226-SM-5LZXI,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.0426,2.1538,2.4276,3.497,2.1667,3.5945,5.9134,4.1914,3.025,4.5807,4.0747,0.3674
GTEX-14AS3-1326-SM-5RQJE,GTEX,Normal_GTEx,,Ovary,Normal Tissue,0.0704,0.3219,1.511,4.6656,3.4169,5.9869,3.4317,4.5595,4.0223,0.6781,7.7581,0.9411
GTEX-QEG4-0426-SM-5S2VQ,GTEX,Normal_GTEx,,Heart,Normal Tissue,0.0566,1.111,2.4725,4.1293,1.9818,2.4646,4.2735,3.5485,1.9964,3.6747,4.9969,0.2016
GTEX-1339X-0326-SM-5K7Z8,GTEX,Normal_GTEx,,Heart,Normal Tissue,0.1635,1.4115,2.7441,5.07,1.6135,3.3448,3.669,2.8758,2.7485,4.6293,5.5948,0.3448
GTEX-PLZ6-0126-SM-48TC6,GTEX,Normal_GTEx,,Spleen,Normal Tissue,0.6781,3.269,2.5235,3.686,3.2357,3.4155,6.7766,5.1985,4.393,4.2637,6.4694,1.7782
TCGA-CV-6948-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,2.9126,3.6792,2.774,4.6645,5.1367,6.8517,6.105,4.5969,5.2657,2.26,4.0951,1.2203
TCGA-EM-A3SX-01,TCGA,Tumor_TCGA,THCA,Thyroid Gland,Primary Tumor,3.3263,6.7112,5.3719,6.628,4.6105,3.7192,5.6014,5.2257,2.121,5.3955,4.4912,2.1243
