sample,study,group,cancer_abbr,tissue,sample_type,CDCP1,MET,EPHA2,ERBB2,EGFR,TFRC,ACKR3,IGF2R,LDLR,SORT1,LRP1,ASGR1
TCGA-49-AAR0-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,2.4828,3.5778,3.1891,5.8635,2.6982,4.5814,5.7677,4.0009,4.6223,4.2273,5.966,2.5558
TCGA-BK-A0CA-01,TCGA,Tumor_TCGA,UCEC,Endometrium,Primary Tumor,3.4249,3.3074,2.3632,4.5317,3.4854,5.2207,2.0566,3.8263,2.8032,4.2211,3.3681,0.1243
K-562-SM-5GZWN,GTEX,Normal_GTEx,,Bone Marrow,Cell Line,4.1827,1.4803,0.4114,2.4673,0.0841,7.878,0.0704,4.9644,6.2374,5.9196,0.8875,1.5008
TCGA-AN-A0AR-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,2.1538,2.4751,1.541,4.723,1.6276,4.2426,1.9782,4.1285,3.0179,5.5192,4.2965,3.7115
GTEX-13111-0226-SM-5EQ55,GTEX,Normal_GTEx,,Thyroid,Normal Tissue,2.3951,2.3477,4.4809,5.9773,3.7656,4.4634,6.1839,3.9607,4.736,4.528,7.489,2.597
GTEX-RTLS-0006-SM-2TF58,GTEX,Normal_GTEx,,Blood,Normal Tissue,0.2141,0.0,0.0,1.3673,0.0286,4.9088,0.864,5.7046,0.9184,2.8217,3.8797,1.5993
GTEX-12ZZZ-3026-SM-5BC67,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.3674,2.101,1.3951,2.7441,2.8778,4.4316,3.1194,2.2079,2.3391,5.1969,6.1621,3.9269
TCGA-CZ-5986-11,TCGA,Normal_TCGA,KIRC,Kidney,Solid Tissue Normal,2.0669,4.4476,3.2839,6.5201,3.774,4.9574,3.903,5.1839,4.4906,5.8882,4.275,0.516
GTEX-R55G-0826-SM-2TC5U,GTEX,Normal_GTEx,,Lung,Normal Tissue,2.6206,4.1489,4.4777,5.7197,4.4148,7.0258,3.9495,5.7385,5.8071,6.1609,7.1655,2.623
GTEX-N7MS-1626-SM-3LK5F,GTEX,Normal_GTEx,,Kidney,Normal Tissue,0.5059,1.7137,1.7866,4.2712,1.3951,1.8639,0.9107,1.9298,2.4033,2.9373,2.8758,0.9107
GTEX-11P82-0006-SM-5N9FY,GTEX,Normal_GTEx,,Blood,Normal Tissue,0.0144,0.0144,0.0,0.4114,0.0144,1.4594,0.275,4.5354,0.8718,3.2883,4.0152,3.7645
TCGA-WE-AAA0-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,0.6781,4.0892,2.7115,4.3785,0.263,3.8817,1.7697,5.8009,5.0148,7.4274,5.3989,0.669
GTEX-SUCS-1426-SM-4DM5W,GTEX,Normal_GTEx,,Pancreas,Normal Tissue,1.9524,1.8639,1.8953,4.3161,2.7203,2.4725,3.6473,2.9964,3.2433,2.3561,4.0866,0.3785
GTEX-1399U-0226-SM-5P9J2,GTEX,Normal_GTEx,,Adrenal Gland,Normal Tissue,0.4542,0.2141,2.6369,2.678,4.0374,4.2372,1.3162,4.6387,5.1114,3.7939,5.5931,0.757
TCGA-60-2720-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,4.696,3.957,4.2555,4.2965,3.0789,4.5478,3.6323,3.6005,4.9231,3.8125,5.2732,1.2809
TCGA-CW-5581-01,TCGA,Tumor_TCGA,KIRC,Kidney,Primary Tumor,2.3729,7.0171,4.0339,6.1499,5.8014,4.4957,6.4401,5.7971,3.0565,4.4758,5.5254,0.6323
TCGA-56-8083-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,4.2118,2.8992,4.5373,6.2271,5.1152,7.0984,5.6542,5.4353,4.3992,5.0,6.2984,3.3306
GTEX-ZYT6-0226-SM-5NQ6T,GTEX,Normal_GTEx,,Skin,Normal Tissue,4.4423,2.4515,4.9941,6.8498,5.9108,3.6229,3.1143,3.9635,4.3896,4.2979,4.9397,2.7333
TCGA-06-0678-11,TCGA,Normal_TCGA,GBM,Brain,Solid Tissue Normal,0.5946,3.2869,2.5435,3.025,2.4356,5.1611,3.2525,3.1391,4.5416,6.6749,6.4956,2.9891
TCGA-Z6-A8JE-01,TCGA,Tumor_TCGA,ESCA,Esophagus,Primary Tumor,3.9755,5.1712,5.9779,6.4762,4.729,5.862,6.4794,5.037,5.5145,5.5852,6.5747,0.7655
GTEX-ZYW4-1526-SM-5SIBA,GTEX,Normal_GTEx,,Lung,Normal Tissue,1.9928,1.5656,2.9874,4.6188,3.9837,5.8377,4.9326,4.6542,4.7082,6.0199,8.0616,2.4803
GTEX-13O61-1126-SM-5L3FI,GTEX,Normal_GTEx,,Stomach,Normal Tissue,0.5361,1.7398,2.9011,4.5267,4.04,3.5801,5.3295,4.1482,4.1043,4.5466,6.416,0.9486
GTEX-ZQUD-0008-SM-4YCCU,GTEX,Normal_GTEx,,Skin,Cell Line,1.3392,3.9374,2.8298,5.0374,4.839,7.0497,4.7317,5.0854,4.5619,4.3448,7.2379,0.6135
GTEX-13OW5-0326-SM-5L3HK,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.0286,1.3785,2.0072,3.8309,2.3477,3.1891,3.5704,5.8442,2.0,4.7043,4.2472,0.2388
TCGA-DM-A0XD-01,TCGA,Tumor_TCGA,COAD,Colon,Primary Tumor,4.1424,4.0233,5.266,5.8189,1.9855,5.2551,2.2957,3.254,4.4296,3.0108,4.9726,1.3841
GTEX-S341-1926-SM-3K2BA,GTEX,Normal_GTEx,,Nerve,Normal Tissue,0.4005,4.0108,4.6633,6.6804,4.9823,4.7463,5.2513,3.9845,3.0635,6.4487,7.5252,1.0
TCGA-AB-2964-03,TCGA,Tumor_TCGA,LAML,White blood cell,Primary Blood Derived Cancer - Peripheral Blood,2.3896,0.2987,0.0976,1.8758,0.1506,7.747,0.6599,2.0286,2.4568,0.275,3.0286,0.8953
TCGA-CN-5363-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,5.2364,6.7124,4.1035,4.836,6.6943,5.4519,5.6058,5.9086,5.4899,2.5849,5.1023,1.0976
GTEX-13OVJ-0226-SM-5L3GK,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.2388,3.0531,1.903,3.3089,2.4515,3.9882,4.4449,5.5376,2.17,6.4784,3.9269,0.2869
GTEX-11EQ8-0826-SM-5N9FG,GTEX,Normal_GTEx,,Thyroid,Normal Tissue,3.4854,3.0018,4.6994,6.0509,4.9406,3.0018,6.1336,4.5862,3.7824,4.2009,7.0392,2.926
TCGA-05-4390-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,1.8399,2.3618,3.8217,6.7634,4.3624,4.0747,3.2204,4.7639,4.1562,3.856,5.4617,0.9184
GTEX-POYW-0826-SM-2XCEM,GTEX,Normal_GTEx,,Thyroid,Normal Tissue,3.1667,2.9909,4.4376,6.6787,4.8217,4.6124,6.4333,4.3067,5.7928,5.3405,7.0005,2.5261
GTEX-13D11-2026-SM-5IJBK,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,0.7655,1.3505,2.511,4.9293,4.7474,4.6381,5.2626,4.5211,3.3646,5.0657,7.009,1.0704
GTEX-XMD1-0011-R8A-SM-4AT48,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.864,1.0144,1.7528,4.7126,2.4356,4.5153,4.0505,3.5496,3.0391,6.1783,6.1507,2.131
TCGA-BR-6453-11,TCGA,Normal_TCGA,STAD,Stomach,Solid Tissue Normal,3.5669,3.2615,4.2009,5.3002,2.8197,4.462,4.0197,3.3533,4.7137,3.4249,4.5607,1.1827
TCGA-A8-A06P-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,3.851,1.6461,3.0215,6.8484,2.0392,5.1887,5.2426,4.9393,3.521,5.2491,6.6147,0.6508
GTEX-QDT8-0011-R11A-SM-32PKD,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.1506,0.2987,0.7485,3.546,3.2373,5.643,2.2927,2.8012,1.9107,4.3882,6.7383,4.2357
TCGA-IE-A4EJ-01,TCGA,Tumor_TCGA,SARC,"Soft tissue,Bone",Primary Tumor,1.0426,1.5704,1.8836,1.6599,6.5065,3.4142,4.641,6.3284,5.0356,2.9524,7.7814,0.546
TCGA-94-8035-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,4.6105,4.748,6.4899,5.7652,4.8243,8.4868,6.1213,4.8217,6.5016,3.6276,5.348,1.433
GTEX-145LS-0011-R6b-SM-5PNWL,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.4329,0.2869,1.2928,3.0514,2.6135,4.5204,2.9336,2.5008,2.0143,4.9626,6.3542,2.6159
GTEX-NPJ8-1326-SM-3LK6B,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.3448,2.5558,3.269,6.7165,3.1811,3.6554,4.9695,4.3263,4.8545,5.3031,8.1025,0.8237
TCGA-VS-A954-01,TCGA,Tumor_TCGA,CESC,Cervix,Primary Tumor,3.0144,0.9928,5.2824,5.4276,4.106,5.1396,2.9909,3.6346,5.8578,3.8339,5.5874,1.0286
TCGA-KC-A7FE-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,2.7115,2.3729,3.096,6.4296,3.8599,2.9598,3.4046,4.7306,4.5329,4.3263,5.6358,0.8237
TCGA-CD-5804-01,TCGA,Tumor_TCGA,STAD,Stomach,Primary Tumor,3.3674,2.7761,4.3248,10.2454,2.4195,4.7198,4.2016,3.7192,4.2032,4.1086,5.8871,4.588
GTEX-QLQW-0126-SM-447BK,GTEX,Normal_GTEx,,Spleen,Normal Tissue,0.3785,1.3219,2.797,3.0374,1.5946,3.3561,5.9614,4.0976,5.0587,2.9672,5.8877,2.9708
GTEX-13FH7-0726-SM-5J2NK,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,1.6369,2.3923,2.3104,4.9846,4.5305,4.1342,5.4419,4.0522,5.9878,6.4338,6.4974,0.5361
GTEX-Y8LW-0008-SM-4V6G5,GTEX,Normal_GTEx,,Skin,Cell Line,1.6915,3.1571,2.3016,4.8943,5.1264,5.8547,4.0461,6.5481,5.1784,3.1027,8.305,1.1177
TCGA-E9-A1NA-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,2.858,1.8836,2.6982,6.1657,2.7159,4.9368,6.842,4.6513,4.9607,4.9518,6.1876,0.6135
TCGA-GN-A4U3-06,TCGA,Tumor_TCGA,SKCM,Skin,Metastatic,0.7485,0.8797,6.4188,5.0076,0.0704,5.5903,0.8399,6.0836,6.3215,6.6665,4.4012,0.9561
GTEX-11OF3-0011-R8b-SM-57WCS,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.1243,0.7225,0.7991,2.6554,1.6508,3.3162,2.0356,2.4489,3.3448,4.4242,5.723,3.1473
TCGA-AR-A0TQ-01,TCGA,Tumor_TCGA,BRCA,Breast,Primary Tumor,0.926,1.7782,2.1473,10.8964,1.86,6.2981,6.1947,4.5085,5.4758,4.8119,5.1627,0.4957
GTEX-T2IS-1926-SM-4DM74,GTEX,Normal_GTEx,,Vagina,Normal Tissue,3.7908,2.3673,4.7043,6.3524,4.9331,3.7656,4.4323,4.588,4.2585,3.1408,7.8473,2.101
GTEX-XQ8I-0126-SM-4BOPL,GTEX,Normal_GTEx,,Heart,Normal Tissue,0.0144,0.8875,2.4195,3.8924,1.433,2.969,3.2032,3.1699,1.926,3.6871,4.6707,0.0426
TCGA-J8-A3NZ-01,TCGA,Tumor_TCGA,THCA,Thyroid Gland,Primary Tumor,4.5292,7.1691,4.8841,6.7915,4.1301,3.3827,3.5261,5.7104,3.4621,5.4339,4.6218,2.0807
GTEX-U3ZM-0926-SM-4DXSW,GTEX,Normal_GTEx,,Prostate,Normal Tissue,2.7655,1.9524,2.9524,6.2858,4.2601,3.958,3.3348,3.6111,5.3169,3.7027,5.6456,1.433
TCGA-DW-5561-01,TCGA,Tumor_TCGA,KIRP,Kidney,Primary Tumor,2.7268,7.0316,3.9654,6.7144,3.359,2.5656,4.0,4.7634,0.6416,4.5429,4.7317,1.1506
TCGA-BS-A0V4-01,TCGA,Tumor_TCGA,UCEC,Endometrium,Primary Tumor,2.272,1.0635,0.7225,4.723,0.4436,1.8359,1.4542,1.0215,2.0392,3.4276,2.0942,0.5558
GTEX-PVOW-0011-R1A-SM-32PL6,GTEX,Normal_GTEx,,Brain,Normal Tissue,0.189,3.391,1.0,2.3334,2.0286,4.3505,1.5059,2.1763,2.6392,6.3628,5.0587,1.9411
GTEX-YEC4-1926-SM-5IFHJ,GTEX,Normal_GTEx,,Colon,Normal Tissue,0.3448,0.7225,2.257,4.4302,3.6041,4.9122,5.0772,4.1086,3.9108,4.2914,6.2058,1.5993
TCGA-VP-A87C-01,TCGA,Tumor_TCGA,PRAD,Prostate,Primary Tumor,2.9411,2.5849,2.5921,6.1129,3.9212,4.0418,3.4751,4.3868,4.5904,4.2172,5.436,1.0356
TCGA-BJ-A18Y-01,TCGA,Tumor_TCGA,THCA,Thyroid Gland,Primary Tumor,3.4646,4.4568,4.2847,6.5706,2.9542,3.144,4.9088,4.7279,1.3896,5.5298,5.0282,3.5198
TCGA-CV-A6JD-01,TCGA,Tumor_TCGA,HNSC,Head and Neck region,Primary Tumor,4.7808,3.5085,3.7005,4.9312,4.2479,4.359,3.729,4.3978,4.8525,2.4489,4.4189,0.669
TCGA-53-7624-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,4.5939,5.6795,4.5065,6.0772,8.5286,7.6959,3.2675,4.5248,4.5441,5.7257,5.4077,1.3951
GTEX-13FH7-0926-SM-5J2MR,GTEX,Normal_GTEx,,Heart,Normal Tissue,0.0976,2.0143,3.263,4.8068,1.7093,3.7082,5.2426,3.8728,2.623,5.278,5.4443,0.189
GTEX-1339X-1026-SM-5IFH5,GTEX,Normal_GTEx,,Pancreas,Normal Tissue,2.7803,1.9184,1.6826,3.841,2.511,3.511,3.0721,2.5286,2.101,2.1827,3.391,0.7312
GTEX-V1D1-1126-SM-4JBHT,GTEX,Normal_GTEx,,Esophagus,Normal Tissue,0.4542,1.4168,2.9782,4.6542,3.905,4.2156,5.0466,3.8339,5.9236,4.1699,6.9816,1.3162
TCGA-2G-AAKD-01,TCGA,Tumor_TCGA,TGCT,Testis,Primary Tumor,2.2326,1.7613,2.1795,4.4555,0.7137,4.3519,3.1293,3.6017,3.5789,3.5447,4.7814,1.6369
TCGA-34-5231-01,TCGA,Tumor_TCGA,LUSC,Lung,Primary Tumor,2.848,4.1136,3.9533,6.1194,6.3925,6.1215,3.7474,5.2372,6.0674,2.2449,6.1204,1.0072
GTEX-131XE-0526-SM-5K7YT,GTEX,Normal_GTEx,,Heart,Normal Tissue,1.3334,2.275,4.1723,5.0708,1.9928,4.3263,6.8353,4.204,6.0579,4.844,7.1742,1.1763
GTEX-WHWD-1526-SM-4OORV,GTEX,Normal_GTEx,,Colon,Normal Tissue,0.4436,2.6323,2.85,4.7382,4.1424,3.1309,5.2134,4.5116,3.2204,4.5601,6.9184,1.2869
TCGA-DD-AAEG-01,TCGA,Tumor_TCGA,LIHC,Liver,Primary Tumor,1.7991,4.04,2.6826,3.0583,4.3212,4.765,3.0635,3.9059,5.2039,2.2957,6.5841,9.1895
TCGA-69-7973-01,TCGA,Tumor_TCGA,LUAD,Lung,Primary Tumor,3.7203,2.1538,2.3505,6.7859,3.757,5.5202,3.373,5.2664,4.2204,4.0215,5.5125,1.9709
GTEX-X4EO-0008-SM-4QASS,GTEX,Normal_GTEx,,Skin,Cell Line,1.2388,2.7634,2.2957,5.4489,5.4124,5.6212,6.0693,5.6973,5.3642,3.9671,9.2758,0.6781
GTEX-P4QT-1626-SM-5S2UR,GTEX,Normal_GTEx,,Muscle,Normal Tissue,0.5946,3.3978,1.6599,3.2342,4.2525,1.9524,3.8278,5.3111,0.7312,6.22,3.7148,0.0
GTEX-WHWD-1826-SM-3LK6I,GTEX,Normal_GTEx,,Skin,Normal Tissue,4.811,2.653,4.8176,7.2315,6.2584,5.0942,3.6077,4.8972,4.4469,4.0824,6.3792,2.17
GTEX-YB5E-1926-SM-5IFIG,GTEX,Normal_GTEx,,Testis,Normal Tissue,0.8399,0.757,2.1571,4.4634,3.3882,4.858,4.6899,4.723,3.7918,5.8299,5.7217,5.0273
GTEX-11ILO-0126-SM-5A5LN,GTEX,Normal_GTEx,,Skin,Normal Tissue,2.8972,2.3533,4.888,6.5,5.5417,3.3191,6.4022,4.0241,4.2372,3.8238,7.4872,2.4854
GTEX-ZF2S-2426-SM-5DUXV,GTEX,Normal_GTEx,,Blood Vessel,Normal Tissue,0.1763,2.0875,3.7928,5.9402,3.6904,3.6194,7.0392,3.7082,3.0617,5.2495,7.6927,1.6599
GTEX-ZE9C-2726-SM-57WB5,GTEX,Normal_GTEx,,Skin,Normal Tissue,4.2645,2.5385,4.7714,6.5286,5.0382,3.7677,4.9918,3.2433,4.9723,3.9021,5.652,2.281
TCGA-OR-A5LK-01,TCGA,Tumor_TCGA,ACC,Adrenal gland,Primary Tumor,0.2987,1.1954,0.8953,0.848,1.1827,2.0566,2.3305,3.3785,2.4409,3.7224,4.3827,0.8718
GTEX-S7SF-1926-SM-4AT5B,GTEX,Normal_GTEx,,Colon,Normal Tissue,3.7623,2.4699,2.9672,6.5208,3.5509,5.2396,3.4489,4.3377,3.8788,4.2525,5.8861,0.6781
GTEX-OIZH-0226-SM-2YUMH,GTEX,Normal_GTEx,,Adipose Tissue,Normal Tissue,0.774,3.9625,4.3902,4.2645,5.4692,4.4168,6.1194,4.7767,4.3191,5.5753,8.0369,1.5753
TCGA-28-2514-01,TCGA,Tumor_TCGA,GBM,Brain,Primary Tumor,1.0566,2.4356,2.6667,3.2509,10.8607,5.5204,4.8042,3.6229,5.1363,5.8318,8.0395,2.8894
TCGA-06-1804-01,TCGA,Tumor_TCGA,GBM,Brain,Primary Tumor,0.7991,2.3673,1.9222,5.2857,6.5272,6.8614,5.896,4.3096,2.8639,6.0704,8.2686,2.0566
