"bin_mid","Ab_phage","Ab_viral"
0.0057,867,823
0.01715,16,8
0.0286,76,7
0.04,8,5
0.05145,5,46
0.0629,5,87
0.0743,2,2
0.08575,3,6
0.09725,9,6
0.1085,5,4
0.1315,1,0
0.143,2,0
0.1545,1,0
0.12,0,3
0.1885,0,1
NA,0,2
