"bin_mid","Ab_phage","Ab_viral"
-17.45,1,19
-16.5,1,15
-14.55,5,24
-13.6,5,27
-12.65,2,25
-11.7,6,26
-10.75,7,19
-9.82,6,26
-8.86,7,25
-7.905,11,35
-6.955,16,32
-6.005,12,20
-5.05,12,23
-4.095,23,30
-3.145,27,26
-2.195,33,19
-1.243,34,35
-0.2895,23,29
0.6635,26,35
1.615,25,49
2.565,32,35
3.52,34,49
4.475,59,28
5.425,58,30
6.375,74,50
7.325,99,97
8.28,103,46
9.235,93,19
10.205,38,11
11.15,35,2
12.1,24,5
13.05,18,1
14,10,4
14.95,13,1
15.9,11,1
16.85,6,3
17.8,5,2
19.7,2,2
20.65,1,3
21.6,3,2
-23.15,0,3
-22.2,0,3
-21.25,0,6
-20.3,0,9
-19.35,0,5
-18.4,0,15
-15.5,0,19
18.75,0,4
22.55,0,4
NA,0,2
