"bin_mid","Ab_phage","Ab_viral"
0.0143,742,404
0.0429,46,119
0.07155,74,48
0.09995,21,21
0.1285,5,6
0.1575,3,2
0.186,1,4
0.2145,2,1
0.2435,2,14
0.272,1,11
0.3005,1,13
0.329,7,3
0.3575,8,1
0.3865,5,0
0.415,1,0
0.4725,1,0
0.558,55,91
0.5865,17,120
0.6155,1,47
0.644,1,14
0.7015,2,8
0.8445,1,12
1.13,1,5
1.335,1,1
NA,1,1
0.5295,0,1
0.6725,0,4
0.73,0,5
0.7585,0,2
0.787,0,3
0.8155,0,7
0.873,0,11
0.9015,0,4
0.93,0,3
0.9585,0,1
0.9865,0,2
1.045,0,1
1.075,0,1
1.155,0,5
1.185,0,3
1.245,0,1
